측정월,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
201904,홍릉로,0.038,0.03,0.5,0.004,45,24
201904,화랑로,0.036,0.018,0.3,0.004,40,23
201905,강남구,0.025,0.037,0.4,0.006,44,26
201905,강남대로,0.057,0.028,0.5,0.004,66,33
201905,강동구,0.03,0.034,0.5,0.005,48,27
201905,강변북로,0.061,0.02,0.4,0.004,66,34
201905,강북구,0.02,0.045,0.5,0.003,53,26
201905,강서구,0.03,0.048,0.5,0.006,54,27
201905,공항대로,0.042,0.032,0.5,0.006,54,30
201905,관악구,0.029,0.046,0.4,0.004,63,35
201905,관악산,0.01,0.05,0.3,0.004,55,28
201905,광진구,0.029,0.037,0.8,0.005,58,34
201905,구로구,0.023,0.045,0.3,0.004,63,37
201905,금천구,0.03,0.039,0.5,0.004,46,26
201905,남산,0.026,0.054,0.9,0.006,57,28
201905,노원구,0.028,0.038,0.5,0.005,49,27
201905,도봉구,0.018,0.048,0.5,0.005,54,28
201905,도산대로,0.034,0.037,0.8,0.005,65,34
201905,동대문구,0.029,0.048,0.5,0.005,43,24
201905,동작구,0.028,0.042,0.4,0.004,49,27
201905,동작대로,0.055,0.031,0.6,0.005,69,35
201905,마포구,0.023,0.042,0.4,0.004,66,36
201905,마포아트센터,0.026,0.049,0.3,0.005,45,23
201905,북한산,0.012,0.046,0.7,0.004,51,30
201905,서대문구,0.025,0.045,0.7,0.005,60,32
201905,서울숲,0.033,0.035,1,0.005,72,32
201905,서초구,0.028,0.045,0.4,0.003,64,36
201905,성동구,0.035,0.048,0.5,0.004,56,30
201905,성북구,0.034,0.038,0.7,0.004,60,31
201905,세곡,0.037,0.033,0.8,0.004,39,21
201905,송파구,0.035,0.04,0.5,0.004,55,32
201905,시흥대로,0.049,0.037,0.6,0.005,54,25
201905,신촌로,0.059,0.031,0.7,0.005,56,32
201905,양천구,0.029,0.037,0.5,0.005,57,28
201905,영등포구,0.025,0.035,0.4,0.004,66,39
201905,영등포로,0.058,0.028,0.7,0.005,59,29
201905,올림픽공원,0.028,0.035,0.6,0.004,51,25
201905,용산구,0.036,0.04,0.5,0.004,42,27
201905,은평구,0.026,0.048,0.4,0.005,58,31
201905,자연사박물관,,0.024,0.9,,52,26
201905,정릉로,0.056,0.021,0.5,0.004,64,37
201905,종로,0.038,0.038,0.6,0.004,49,24
201905,종로구,0.033,0.041,0.6,0.005,45,23
201905,중구,0.034,0.048,0.5,0.004,44,24
201905,중랑구,0.023,0.044,0.4,0.007,43,28
201905,천호대로,0.044,0.037,0.5,0.004,57,25
201905,청계천로,0.042,0.038,0.6,0.005,50,28
201905,한강대로,0.044,0.027,0.5,0.005,73,38
201905,항동,0.042,0.033,0.6,0.005,50,23
201905,행주,0.026,0.044,0.6,0.006,48,23
201905,홍릉로,0.041,0.04,0.6,0.005,67,35
201905,화랑로,0.04,0.028,0.3,0.004,54,32
201906,강남구,0.018,0.035,0.3,0.005,24,16
201906,강남대로,0.057,0.025,0.4,0.004,35,21
201906,강동구,0.021,0.032,0.4,0.003,26,18
201906,강변북로,0.046,0.023,0.3,0.004,34,21
201906,강북구,0.013,0.039,0.4,0.002,30,17
201906,강서구,0.021,0.043,0.4,0.005,27,18
201906,공항대로,0.035,0.029,0.4,0.005,28,18
201906,관악구,0.022,0.043,0.3,0.004,35,23
201906,관악산,0.01,0.032,0.3,0.004,29,19
201906,광진구,0.02,0.033,0.6,0.004,32,26
201906,구로구,0.018,0.044,0.3,0.004,31,23
201906,금천구,0.023,0.032,0.4,0.003,25,18
201906,남산,0.02,0.045,0.7,0.005,30,19
201906,노원구,0.019,0.034,0.4,0.004,27,18
201906,도봉구,0.012,0.043,0.4,0.003,31,19
201906,도산대로,0.022,0.032,0.8,0.004,34,22
201906,동대문구,0.02,0.04,0.3,0.004,22,16
201906,동작구,0.021,0.036,0.4,0.003,29,18
201906,동작대로,0.048,0.027,0.5,0.005,39,22
201906,마포구,0.017,0.041,0.3,0.004,36,26
201906,마포아트센터,0.018,0.043,0.2,0.003,27,17
201906,북한산,0.007,0.037,0.6,0.003,27,20
201906,서대문구,0.015,0.042,0.6,0.003,30,21
201906,서울숲,0.018,0.034,0.3,0.004,55,26
201906,서초구,0.022,0.04,0.3,0.003,32,25
201906,성동구,0.025,0.044,0.4,0.003,34,22
201906,성북구,0.024,0.035,0.6,0.003,31,20
201906,세곡,0.03,0.028,0.8,0.003,25,16
201906,송파구,0.026,0.039,0.4,0.003,31,20
201906,시흥대로,0.044,0.031,0.5,0.004,33,18
201906,신촌로,0.046,0.029,0.6,0.003,32,21
201906,양천구,0.022,0.034,0.4,0.004,30,18
201906,영등포구,0.025,0.034,0.3,0.003,37,26
201906,영등포로,0.045,0.028,0.6,0.004,33,21
201906,올림픽공원,0.02,0.033,0.5,0.003,34,20
201906,용산구,0.026,0.037,0.4,0.003,20,16
201906,은평구,0.019,0.044,0.3,0.004,31,22
201906,자연사박물관,,0.011,0.1,,32,20
201906,정릉로,0.035,0.021,0.4,0.004,34,23
201906,종로,0.029,0.035,0.4,0.003,25,16
201906,종로구,0.022,0.036,0.4,0.003,24,15
201906,중구,0.025,0.043,0.4,0.003,23,16
201906,중랑구,0.017,0.038,0.3,0.006,22,18
201906,천호대로,0.038,0.034,0.5,0.003,34,17
201906,청계천로,0.031,0.037,0.5,0.004,27,19
201906,한강대로,0.035,0.023,0.5,0.004,43,27
201906,항동,0.032,0.029,0.4,0.005,26,17
201906,행주,0.016,0.042,0.7,0.004,30,15
201906,홍릉로,0.029,0.033,0.6,0.003,42,25
201906,화랑로,0.036,0.032,0.3,0.005,29,20
201907,강남구,0.015,0.027,0.3,0.005,29,18
201907,강남대로,0.041,0.021,0.4,0.004,26,17
201907,강동구,0.017,0.027,0.4,0.003,26,19
201907,강변북로,0.046,0.018,0.3,0.004,26,18
201907,강북구,0.012,0.031,0.4,0.002,32,19
201907,강서구,0.018,0.034,0.4,0.004,28,21
201907,공항대로,0.032,0.024,0.4,0.005,33,20
201907,관악구,0.02,0.043,0.2,0.004,26,15
201907,관악산,0.009,0.026,0.5,0.002,27,20
201907,광진구,0.017,0.027,0.6,0.004,27,22
201907,구로구,0.016,0.042,0.3,0.004,19,20
201907,금천구,0.019,0.026,0.4,0.003,25,18
201907,남산,0.008,0.035,0.6,0.004,29,20
201907,노원구,0.016,0.028,0.4,0.003,27,20
201907,도봉구,0.01,0.035,0.4,0.003,24,15
201907,도산대로,0.017,0.025,0.7,0.004,27,13
201907,동대문구,0.017,0.032,0.4,0.004,22,19
201907,동작구,0.017,0.028,0.3,0.003,31,22
201907,동작대로,0.039,0.029,0.5,0.007,30,17
201907,마포구,0.014,0.034,0.5,0.004,25,20
201907,마포아트센터,0.016,0.033,0.3,0.003,37,24
201907,북한산,0.006,0.028,0.5,0.003,20,16
201907,서대문구,0.013,0.034,0.6,0.003,24,18
201907,서울숲,0.016,0.028,0.1,0.004,23,13
201907,서초구,0.019,0.033,0.3,0.004,24,20
201907,성동구,0.022,0.034,0.4,0.003,32,21
201907,성북구,0.022,0.028,0.6,0.003,23,16
201907,세곡,0.022,0.023,0.6,0.002,24,16
201907,송파구,0.021,0.032,0.3,0.003,24,17
201907,시흥대로,0.039,0.025,0.5,0.003,29,17
201907,신촌로,0.039,0.023,0.6,0.003,33,23
201907,양천구,0.019,0.026,0.4,0.004,33,21
201907,영등포구,0.026,0.028,0.3,0.003,27,23
201907,영등포로,0.041,0.021,0.6,0.004,36,24
201907,올림픽공원,0.01,0.011,0.5,0.004,20,13
201907,용산구,0.022,0.031,0.4,0.003,21,20
201907,은평구,0.016,0.035,0.3,0.004,26,21
201907,자연사박물관,,,,,26,13
201907,정릉로,0.026,0.024,0.4,0.005,26,18
201907,종로,0.028,0.026,0.4,0.003,24,15
201907,종로구,0.02,0.027,0.4,0.003,25,17
201907,중구,0.023,0.031,0.4,0.003,26,18
201907,중랑구,0.015,0.026,0.3,0.006,22,17
201907,천호대로,0.033,0.027,0.4,0.003,33,18
201907,청계천로,0.029,0.029,0.6,0.004,30,21
201907,한강대로,0.032,0.018,0.5,0.004,33,21
201907,항동,0.024,0.026,0.4,0.005,28,20
201907,행주,0.016,0.038,0.6,0.003,31,18
201907,홍릉로,0.02,0.025,0.6,0.003,38,27
201907,화랑로,0.034,0.034,0.3,0.006,28,18
201908,강남구,0.017,0.024,0.4,0.005,29,16
201908,강남대로,0.032,0.02,0.4,0.004,21,14
201908,강동구,0.019,0.026,0.4,0.003,22,18
201908,강변북로,0.043,0.014,0.4,0.003,23,13
201908,강북구,0.012,0.028,0.3,0.002,32,17
201908,강서구,0.018,0.035,0.4,0.004,28,20
201908,공항대로,0.034,0.024,0.4,0.005,32,18
201908,관악구,0.02,0.031,0.3,0.004,24,13
201908,관악산,0.009,0.025,0.4,0.002,29,20
201908,광진구,0.018,0.03,0.7,0.004,28,19
201908,구로구,0.016,0.028,0.3,0.005,23,14
201908,금천구,0.019,0.027,0.4,0.003,24,17
201908,남산,0.009,0.035,0.6,0.003,28,19
201908,노원구,0.015,0.027,0.4,0.004,26,18
201908,도봉구,0.01,0.032,0.4,0.004,21,11
201908,도산대로,0.017,0.025,0.7,0.004,28,16
201908,동대문구,0.018,0.031,0.3,0.004,22,17
201908,동작구,0.018,0.029,0.4,0.003,30,20
201908,동작대로,0.043,0.019,0.5,0.003,25,14
201908,마포구,0.014,0.032,0.6,0.004,23,16
201908,마포아트센터,0.016,0.036,0.3,0.003,31,18
201908,북한산,0.006,0.025,0.5,0.003,21,14
201908,서대문구,0.012,0.033,0.6,0.003,23,11
201908,서울숲,0.016,0.022,0.1,0.004,29,17
201908,서초구,0.022,0.035,0.3,0.004,23,16
201908,성동구,0.023,0.033,0.4,0.004,25,12
201908,성북구,0.022,0.028,0.6,0.003,26,18
201908,세곡,0.023,0.02,0.7,0.002,25,16
201908,송파구,0.024,0.029,0.3,0.003,21,13
201908,시흥대로,0.041,0.026,0.6,0.003,29,17
201908,신촌로,0.042,0.023,0.4,0.003,32,20
201908,양천구,0.019,0.03,0.4,0.004,31,19
201908,영등포구,0.027,0.031,0.4,0.003,24,17
201908,영등포로,0.042,0.022,0.6,0.003,33,22
201908,올림픽공원,0.016,0.022,0.5,0.003,28,19
201908,용산구,0.021,0.03,0.4,0.003,23,18
201908,은평구,0.015,0.035,0.5,0.004,26,18
201908,자연사박물관,,0.012,0.4,,28,17
201908,정릉로,0.023,0.014,0.5,0.003,23,16
201908,종로,0.026,0.026,0.3,0.003,23,14
201908,종로구,0.02,0.026,0.5,0.003,24,17
201908,중구,0.023,0.031,0.2,0.003,24,17
201908,중랑구,0.014,0.028,0.4,0.006,21,15
201908,천호대로,0.035,0.023,0.4,0.003,33,18
201908,청계천로,0.03,0.027,0.6,0.004,30,20
201908,한강대로,0.032,0.019,0.5,0.004,28,17
201908,항동,0.008,0.016,0.4,0.004,24,15
201908,행주,0.018,0.04,0.4,0.003,31,17
201908,홍릉로,0.029,0.025,0.7,0.003,33,22
201908,화랑로,0.033,0.03,0.3,0.004,18,16
201909,강남구,,,,,24,11
201909,강남대로,0.039,0.015,0.4,0.003,19,11
201909,강동구,0.019,0.024,0.4,0.003,19,12
201909,강변북로,0.034,0.014,0.4,0.004,22,10
201909,강북구,0.013,0.027,0.4,0.002,26,13
201909,강서구,0.023,0.023,0.4,0.004,24,14
201909,공항대로,0.034,0.019,0.5,0.005,28,13
201909,관악구,0.025,0.024,0.4,0.004,,
201909,관악산,0.01,0.017,0.4,0.003,24,13
201909,광진구,0.018,0.023,0.6,0.004,24,15
201909,구로구,0.021,0.027,0.3,0.004,19,8
201909,금천구,0.023,0.02,0.4,0.003,18,12
201909,남산,0.007,0.026,0.7,0.004,24,13
201909,노원구,0.014,0.021,0.4,0.004,21,13
201909,도봉구,0.013,0.025,0.4,0.004,17,9
201909,도산대로,0.02,0.019,0.7,0.004,26,13
201909,동대문구,0.019,0.022,0.4,0.004,16,10
201909,동작구,0.023,0.02,0.4,0.003,29,12
201909,동작대로,0.043,0.016,0.5,0.005,21,11
201909,마포구,0.015,0.023,0.5,0.004,16,10
201909,마포아트센터,0.02,0.025,0.3,0.003,23,13
201909,북한산,0.006,0.023,0.4,0.003,16,10
201909,서대문구,0.013,0.027,0.6,0.003,20,7
201909,서울숲,0.017,0.019,0.3,0.004,27,13
201909,서초구,0.025,0.027,0.3,0.003,19,11
201909,성동구,0.022,0.027,0.4,0.004,22,11
201909,성북구,0.022,0.021,0.6,0.003,28,10
201909,세곡,0.026,0.014,0.7,0.002,21,12
201909,송파구,0.025,0.021,0.4,0.002,19,10
201909,시흥대로,0.044,0.016,0.6,0.003,24,12
201909,신촌로,0.037,0.018,0.5,0.003,26,15
201909,양천구,0.026,0.025,0.4,0.004,27,13
201909,영등포구,0.028,0.024,0.3,0.003,22,14
201909,영등포로,0.038,0.017,0.6,0.003,27,16
201909,올림픽공원,0.017,0.017,0.5,0.002,23,12
201909,용산구,0.023,0.022,0.4,0.003,17,11
201909,은평구,0.018,0.028,0.5,0.004,22,14
201909,자연사박물관,,,,,29,15
201909,정릉로,0.037,0.01,0.4,0.004,20,12
201909,종로,0.029,0.018,0.4,0.003,18,9
201909,종로구,0.022,0.02,0.5,0.003,21,12
201909,중구,0.027,0.022,0.3,0.003,20,11
201909,중랑구,0.013,0.023,0.4,0.005,14,9
201909,천호대로,0.032,0.017,0.5,0.003,27,13
201909,청계천로,0.03,0.02,0.6,0.004,23,14
201909,한강대로,0.032,0.014,0.4,0.004,24,14
201909,항동,0.009,0.012,0.4,0.004,21,12
201909,행주,0.023,0.026,0.5,0.004,26,12
201909,홍릉로,0.029,0.02,0.7,0.003,28,16
201909,화랑로,0.03,0.02,0.4,0.004,26,12
201910,강남구,0.032,0.023,0.4,0.003,31,14
201910,강남대로,0.04,0.013,0.4,0.003,24,13
201910,강동구,0.024,0.018,0.4,0.003,32,17
201910,강변북로,0.036,0.015,0.5,0.004,28,13
201910,강북구,0.015,0.025,0.4,0.002,33,17
201910,강서구,0.027,0.02,0.5,0.004,34,17
201910,공항대로,0.036,0.014,0.5,0.005,35,16
201910,관악구,0.019,0.013,0.5,0.003,39,14
201910,관악산,0.011,0.026,0.5,0.003,33,16
201910,광진구,0.02,0.021,0.6,0.002,32,17
201910,구로구,0.024,0.028,0.3,0.004,25,10
201910,금천구,0.026,0.021,0.4,0.003,27,15
201910,남산,0.007,0.027,0.6,0.004,34,16
201910,노원구,0.014,0.018,0.4,0.004,26,17
201910,도봉구,0.018,0.023,0.5,0.002,23,12
201910,도산대로,0.022,0.016,0.6,0.003,33,15
201910,동대문구,0.024,0.021,0.5,0.002,37,12
201910,동작구,0.026,0.018,0.4,0.003,33,16
201910,동작대로,0.043,0.014,0.5,0.005,29,11
201910,마포구,0.032,0.025,0.5,0.003,38,16
201910,마포아트센터,0.024,0.025,0.3,0.003,31,15
201910,북한산,0.008,0.027,0.4,0.002,21,11
201910,서대문구,0.017,0.025,0.6,0.003,28,11
201910,서울숲,0.02,0.018,0.9,0.004,31,14
201910,서초구,0.027,0.025,0.3,0.003,27,12
201910,성동구,0.026,0.022,0.4,0.003,27,14
201910,성북구,0.027,0.019,0.5,0.002,38,13
201910,세곡,0.027,0.013,0.6,0.003,27,13
201910,송파구,0.028,0.019,0.5,0.003,27,15
201910,시흥대로,0.046,0.013,0.7,0.004,30,15
201910,신촌로,0.04,0.015,0.6,0.003,35,19
201910,양천구,0.029,0.024,0.5,0.005,37,17
201910,영등포구,0.028,0.021,0.4,0.002,28,17
201910,영등포로,0.04,0.014,0.6,0.003,36,19
201910,올림픽공원,0.019,0.016,0.5,0.002,30,14
201910,용산구,0.026,0.02,0.4,0.003,21,14
201910,은평구,0.021,0.026,0.5,0.004,27,15
201910,자연사박물관,,,,,30,16
201910,정릉로,0.057,0.007,0.5,0.004,26,17
201910,종로,0.03,0.016,0.5,0.003,24,12
201910,종로구,0.026,0.017,0.5,0.003,25,16
201910,중구,0.029,0.02,0.5,0.003,26,15
201910,중랑구,0.022,0.021,0.4,0.002,39,11
201910,천호대로,0.034,0.015,0.5,0.003,34,15
201910,청계천로,0.033,0.017,0.6,0.004,29,17
201910,한강대로,0.034,0.015,0.6,0.004,29,15
201910,항동,0.015,0.013,0.4,0.004,28,15
201910,행주,0.026,0.02,0.6,0.004,37,16
201910,홍릉로,0.031,0.017,0.7,0.003,35,18
201910,화랑로,0.031,0.013,0.4,0.002,35,15
201911,강남구,0.036,0.015,0.6,0.003,44,19
201911,강남대로,0.044,0.006,0.8,0.003,50,23
201911,강동구,0.036,0.011,0.6,0.003,54,25
201911,강변북로,0.049,0.01,0.6,0.005,39,22
201911,강북구,0.024,0.016,0.5,0.003,41,21
201911,강서구,0.035,0.013,0.6,0.005,48,24
201911,공항대로,0.041,0.008,0.6,0.005,46,20
201911,관악구,0.035,0.011,0.6,0.004,44,20
201911,관악산,0.014,0.024,0.5,0.004,41,18
201911,광진구,0.028,0.011,0.6,0.002,40,20
201911,구로구,0.031,0.017,0.4,0.004,41,24
201911,금천구,0.037,0.011,0.6,0.003,35,20
201911,남산,0.023,0.018,0.8,0.004,41,18
201911,노원구,0.026,0.012,0.6,0.005,35,22
201911,도봉구,0.027,0.015,0.6,0.003,32,17
201911,도산대로,0.032,0.007,0.8,0.003,46,22
201911,동대문구,0.036,0.013,0.6,0.003,42,18
201911,동작구,0.038,0.012,0.5,0.003,44,24
201911,동작대로,0.048,0.009,0.7,0.006,38,19
201911,마포구,0.039,0.011,0.6,0.003,41,20
201911,마포아트센터,0.035,0.015,0.4,0.003,37,18
201911,북한산,0.013,0.022,0.4,0.003,30,13
201911,서대문구,0.027,0.016,0.8,0.005,34,14
201911,서울숲,0.03,0.011,0.7,0.004,40,18
201911,서초구,0.038,0.017,0.4,0.004,47,22
201911,성동구,0.037,0.012,0.6,0.003,38,20
201911,성북구,0.036,0.012,0.8,0.003,47,16
201911,세곡,0.03,0.009,0.9,0.004,36,16
201911,송파구,0.04,0.01,0.7,0.003,36,17
201911,시흥대로,0.048,0.01,0.8,0.004,37,20
201911,신촌로,0.047,0.008,0.8,0.004,47,24
201911,양천구,0.039,0.015,0.6,0.006,49,23
201911,영등포구,0.035,0.012,0.5,0.003,36,21
201911,영등포로,0.044,0.009,0.7,0.004,46,25
201911,올림픽공원,0.027,0.01,0.7,0.002,39,18
201911,용산구,0.038,0.011,0.5,0.003,32,18
201911,은평구,0.031,0.017,0.8,0.004,37,18
201911,자연사박물관,,,,,37,17
201911,정릉로,0.084,0.004,0.7,0.004,42,25
201911,종로,0.036,0.011,0.6,0.003,37,18
201911,종로구,0.034,0.011,0.7,0.004,37,20
201911,중구,0.037,0.013,0.6,0.004,36,20
201911,중랑구,0.032,0.013,0.6,0.003,40,16
201911,천호대로,0.042,0.008,0.6,0.003,47,21
201911,청계천로,0.038,0.011,0.8,0.005,40,23
201911,한강대로,0.04,0.011,0.6,0.004,38,19
201911,항동,0.026,0.009,0.4,0.004,36,18
201911,행주,0.03,0.014,0.7,0.004,46,18
201911,홍릉로,0.039,0.012,0.7,0.004,54,25
201911,화랑로,0.034,0.009,0.6,0.003,45,21
201912,강남구,0.037,0.01,0.6,0.003,43,29
201912,강남대로,0.045,0.006,1.2,0.003,48,28
201912,강동구,0.037,0.009,0.6,0.003,49,36
201912,강변북로,0.045,0.007,0.6,0.004,51,33
201912,강북구,0.039,0.014,0.6,0.003,47,32
201912,강서구,0.037,0.012,0.7,0.005,52,30
201912,공항대로,0.041,0.007,0.7,0.005,55,32
201912,관악구,0.039,0.011,0.6,0.003,43,28
201912,관악산,0.016,0.023,0.5,0.004,33,21
201912,광진구,0.03,0.009,0.8,0.003,38,24
201912,구로구,0.031,0.015,0.5,0.004,41,29
201912,금천구,0.037,0.01,0.6,0.004,37,32
201912,남산,0.034,0.014,0.8,0.004,38,24
201912,노원구,0.036,0.01,0.7,0.005,39,32
201912,도봉구,0.028,0.014,0.7,0.003,38,25
201912,도산대로,0.043,0.007,1,0.003,43,27
201912,동대문구,0.036,0.01,0.7,0.003,44,28
201912,동작구,0.039,0.01,0.6,0.003,47,33
201912,동작대로,0.05,0.008,0.7,0.005,46,32
201912,마포구,0.04,0.008,0.7,0.003,40,29
201912,마포아트센터,0.033,0.012,0.4,0.003,39,26
201912,북한산,0.018,0.018,0.6,0.003,38,21
201912,서대문구,0.031,0.012,0.9,0.005,41,21
201912,서울숲,0.039,0.01,0.6,0.004,41,26
201912,서초구,0.042,0.015,0.5,0.003,48,30
201912,성동구,0.038,0.01,0.6,0.004,39,27
201912,성북구,0.04,0.011,0.8,0.003,44,28
201912,세곡,0.022,0.008,1,0.004,36,20
201912,송파구,0.039,0.008,0.7,0.004,36,23
201912,시흥대로,0.043,0.009,0.8,0.004,39,30
201912,신촌로,0.043,0.008,0.8,0.004,48,34
201912,양천구,0.039,0.01,0.7,0.005,50,33
201912,영등포구,0.036,0.01,0.7,0.003,36,25
201912,영등포로,0.044,0.008,0.8,0.004,49,33
201912,올림픽공원,0.029,0.009,0.7,0.003,36,25
201912,용산구,0.033,0.008,0.6,0.003,37,30
201912,은평구,0.028,0.014,0.6,0.004,40,25
201912,자연사박물관,,,,,39,24
201912,정릉로,0.041,0.005,0.7,0.004,49,37
201912,종로,0.036,0.011,0.7,0.004,49,32
201912,종로구,0.036,0.009,0.7,0.004,43,32
201912,중구,0.035,0.011,0.7,0.003,41,32
201912,중랑구,0.034,0.011,0.6,0.003,43,23
201912,천호대로,0.044,0.007,0.7,0.003,53,29
201912,청계천로,0.037,0.01,0.8,0.005,42,32
201912,한강대로,0.038,0.009,0.7,0.004,44,26
201912,항동,0.027,0.008,0.5,0.004,40,28
201912,행주,0.027,0.013,0.8,0.004,45,24
201912,홍릉로,0.042,0.008,0.7,0.004,43,28
201912,화랑로,0.033,0.01,0.5,0.004,50,30
202001,강남구,0.036,0.014,0.7,0.003,39,28
202001,강남대로,0.045,0.007,1.1,0.004,46,26
202001,강동구,0.037,0.012,0.6,0.004,47,34
202001,강변북로,0.043,0.011,1.1,0.004,47,27
202001,강북구,0.035,0.016,0.6,0.003,45,30
202001,강서구,0.034,0.014,0.7,0.005,54,29
202001,공항대로,0.041,0.01,0.7,0.006,56,32
202001,관악구,0.04,0.012,0.7,0.004,44,28
202001,관악산,0.015,0.014,0.6,0.004,37,24
202001,광진구,0.029,0.012,0.8,0.003,40,24
202001,구로구,0.031,0.018,0.5,0.005,41,29
202001,금천구,0.037,0.011,0.7,0.004,42,33
202001,남산,0.03,0.018,1,0.004,43,28
202001,노원구,0.033,0.013,0.7,0.005,38,32
202001,도봉구,0.026,0.018,0.7,0.003,39,24
202001,도산대로,0.041,0.011,1,0.003,42,24
202001,동대문구,0.035,0.013,0.6,0.003,40,26
202001,동작구,0.039,0.012,0.6,0.003,51,32
202001,동작대로,0.05,0.009,0.7,0.006,47,31
202001,마포구,0.038,0.014,0.5,0.004,41,31
202001,마포아트센터,0.032,0.014,0.4,0.003,41,26
202001,북한산,0.013,0.024,0.6,0.003,33,19
202001,서대문구,0.03,0.016,0.9,0.005,41,26
202001,서울숲,0.044,0.013,0.8,0.004,41,27
202001,서초구,0.039,0.019,0.5,0.003,47,29
202001,성동구,0.034,0.013,0.6,0.004,41,29
202001,성북구,0.039,0.014,0.8,0.003,41,27
202001,세곡,0.017,0.01,1.1,0.005,39,22
202001,송파구,0.038,0.01,0.7,0.004,41,29
202001,시흥대로,0.045,0.011,0.8,0.004,49,31
202001,신촌로,0.042,0.009,0.8,0.004,47,33
202001,양천구,0.038,0.013,0.7,0.005,51,33
202001,영등포구,0.036,0.012,0.9,0.003,42,29
202001,영등포로,0.043,0.01,0.8,0.004,48,33
202001,올림픽공원,0.026,0.012,0.7,0.003,35,26
202001,용산구,0.029,0.012,0.6,0.003,42,30
202001,은평구,0.027,0.017,0.8,0.003,40,24
202001,자연사박물관,0.02,0.026,0.4,0.006,38,27
202001,정릉로,0.054,0.006,0.6,0.005,47,32
202001,종로,0.03,0.013,0.7,0.004,49,31
202001,종로구,0.034,0.013,0.7,0.004,43,32
202001,중구,0.032,0.014,0.7,0.004,42,34
202001,중랑구,0.033,0.013,0.7,0.003,42,22
202001,천호대로,0.043,0.01,0.8,0.004,49,29
202001,청계천로,0.035,0.013,0.8,0.004,41,30
202001,한강대로,0.038,0.012,0.8,0.004,46,25
202001,항동,0.035,0.012,0.6,0.004,48,32
202001,행주,0.023,0.017,0.9,0.004,48,27
202001,홍릉로,0.042,0.013,0.8,0.004,42,28
202001,화랑로,0.031,0.011,0.6,0.005,46,32
202002,강남구,0.034,0.019,0.6,0.003,38,25
202002,강남대로,0.04,0.012,0.8,0.003,43,25
202002,강동구,0.035,0.017,0.6,0.003,46,32
202002,강변북로,0.041,0.014,0.7,0.004,46,26
202002,강북구,0.034,0.019,0.5,0.003,46,29
202002,강서구,0.031,0.019,0.6,0.005,46,27
202002,공항대로,0.035,0.016,0.6,0.005,46,27
202002,관악구,0.037,0.016,0.6,0.003,41,27
202002,관악산,0.014,0.027,0.5,0.004,35,22
202002,광진구,0.028,0.016,0.6,0.002,41,27
202002,구로구,0.034,0.023,0.4,0.003,40,30
202002,금천구,0.034,0.016,0.6,0.003,41,29
202002,남산,0.026,0.023,0.8,0.004,34,22
202002,노원구,0.03,0.017,0.6,0.004,36,31
202002,도봉구,0.025,0.022,0.6,0.003,38,28
202002,도산대로,0.039,0.015,0.9,0.002,40,22
202002,동대문구,0.032,0.018,0.6,0.003,39,25
202002,동작구,0.034,0.016,0.5,0.003,48,31
202002,동작대로,0.046,0.014,0.6,0.005,46,31
202002,마포구,0.036,0.015,0.6,0.003,37,28
202002,마포아트센터,0.028,0.017,0.4,0.003,40,26
202002,북한산,0.014,0.026,0.5,0.003,33,19
202002,서대문구,0.028,0.02,0.8,0.004,40,29
202002,서울숲,0.029,0.015,0.4,0.004,37,24
202002,서초구,0.034,0.024,0.4,0.003,48,29
202002,성동구,0.03,0.018,0.5,0.004,40,27
202002,성북구,0.036,0.018,0.7,0.003,40,27
202002,세곡,0.013,0.015,0.9,0.003,44,29
202002,송파구,0.036,0.015,0.7,0.003,40,28
202002,시흥대로,0.041,0.017,0.7,0.004,48,29
202002,신촌로,0.04,0.014,0.7,0.004,45,31
202002,양천구,0.036,0.018,0.6,0.005,46,30
202002,영등포구,0.033,0.017,0.6,0.003,39,27
202002,영등포로,0.042,0.014,0.7,0.004,47,32
202002,올림픽공원,0.025,0.019,0.5,0.004,41,27
202002,용산구,0.027,0.017,0.6,0.002,39,27
202002,은평구,0.023,0.022,0.7,0.003,38,26
202002,자연사박물관,0.027,0.022,0.6,0.006,39,27
202002,정릉로,0.054,0.01,0.6,0.005,46,32
202002,종로,0.029,0.017,0.6,0.003,48,30
202002,종로구,0.032,0.015,0.6,0.004,42,29
202002,중구,0.029,0.018,0.6,0.003,40,32
202002,중랑구,0.032,0.018,0.6,0.003,41,23
202002,천호대로,0.042,0.015,0.7,0.006,48,29
202002,청계천로,0.033,0.017,0.7,0.004,40,30
202002,한강대로,0.035,0.016,0.6,0.003,46,24
202002,항동,0.031,0.018,0.5,0.003,43,28
202002,행주,0.024,0.021,0.7,0.004,43,28
202002,홍릉로,0.039,0.016,0.7,0.004,41,28
202002,화랑로,0.031,0.016,0.4,0.004,45,29
202003,강남구,0.029,0.028,0.5,0.003,41,25
202003,강남대로,0.038,0.021,0.6,0.002,48,22
202003,강동구,0.025,0.025,0.5,0.003,45,26
202003,강변북로,0.039,0.02,0.4,0.004,52,22
202003,강북구,0.025,0.028,0.4,0.003,46,25
202003,강서구,0.025,0.028,0.5,0.004,49,24
202003,공항대로,0.03,0.019,0.5,0.005,53,25
